id,price,model,mileage,motorcycle_class,year,engine_capacity,engine_strokes,damaged,documents,city,date
118,130 000₽,Yamaha SRX 400,18 400 км,Классика,1990,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 сентября
119,130 000₽,Yamaha SRX 400,18 800 км,Классика,1990,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 сентября
121,350 000₽,Kawasaki VN Vulcan 900,2 300 км,Чоппер,2014,900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 сентября
122,450 000₽,Harley-Davidson V-Rod,18 000 км,Чоппер,2003,1 200 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,20 сентября
123,190 000₽,Yamaha XVS 400,29 000 км,Чоппер,2002,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 сентября
124,519 000₽,Yamaha Stratoliner,18 000 км,Чоппер,2006,1 900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 сентября
125,519 000₽,Yamaha Stratoliner,18 000 км,Чоппер,2006,1 900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 сентября
126,59 990₽,Yamaha,36 851 км,Классика,2014,125 куб. см.,2х тактный,Исправен,Есть ПТС,Москва,18 сентября
127,1 000 000₽,Honda VFR 1200F,20 000 км,Спорт-турист,2016,1 200 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,18 сентября
129,500 000₽,Big Bear Choppers,3 000 км,Круизер,1982,650 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,18 сентября
130,260 000₽,Suzuki GSR 600,49 000 км,Классика,2009,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,18 сентября
131,275 000₽,Husaberg,10 км,Эндуро,2014,125 куб. см.,2х тактный,Исправен,Без ПТС,Москва,18 сентября
132,350 000₽,Suzuki GSX-R 1000,25 000 км,Спортивный,2008,1 000 куб. см.,4х тактный,None,Есть ПТС,Москва,18 сентября
133,32 600₽,BSE PH10-140E 17/14,1 км,Питбайк,2015,140 куб. см.,4х тактный,Исправен,Без ПТС,Москва,18 сентября
134,400 000₽,KTM 990 SM T,47 000 км,Туристический,2010,990 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,17 сентября
135,160 000₽,Honda CB 1300,62 000 км,Классика,1999,1 300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,17 сентября
136,370 000₽,Honda ST 1300,76 500 км,Спорт-турист,2002,1 300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,16 сентября
137,170 000₽,Suzuki VS 800 Intruder,77 698 км,Чоппер,1997,800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,16 сентября
138,150 000₽,Honda Steed 600,35 000 км,Чоппер,1992,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,14 сентября
139,60 000₽,Patron Taker 250,10 589 км,Классика,2012,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,13 сентября
140,151 000₽,Avantis,1 км,Эндуро,2018,223 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,13 сентября
141,670 000₽,Harley-Davidson Dyna Super Glide Sport FXDX,31 000 км,Кастом,2018,1 449 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,13 сентября
142,99 999₽,Honda CB 400SF VTEC-1,None,Классика,1999,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,12 сентября
143,72 000₽,Kawasaki ZZR 600 Ninja,24 998 км,Спорт-турист,1998,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,12 сентября
144,420 000₽,Suzuki Boulevard M109R,18 000 км,Чоппер,2006,1 800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,11 сентября
145,50 000₽,Урал,12 000 км,None,1967,400 куб. см.,4х тактный,Исправен,Без ПТС,Москва,11 сентября
146,400 000₽,Kawasaki Ninja ZX-6R,5 000 км,Спортивный,2003,636 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,11 сентября
147,215 000₽,Suzuki Intruder,31 955 км,Чоппер,2009,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,11 сентября
149,235 000₽,Suzuki GSX-R 1000,20 000 км,Спортивный,2004,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,11 сентября
151,670 000₽,Husqvarna 701 Supermoto,3 500 км,Мотард,2017,690 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,10 сентября
152,280 000₽,Kawasaki Ninja ZX-10R,46 000 км,Спортивный,2004,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,10 сентября
153,310 000₽,Honda CBR 500R,2 000 км,Спортивный,2013,500 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 9 сентября
154,415 000₽,Yamaha Royal Star Venture,71 000 км,Круизер,2005,1 300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 9 сентября
155,530 000₽,Victory Vision,35 000 км,Туристический,2008,1 800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 9 сентября
156,45 000₽,Урал М-67 36,1 111 км,Классика,1989,650 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 8 сентября
157,280 000₽,Honda CBR 1000RR Fireblade,43 990 км,Спортивный,2006,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 7 сентября
158,210 000₽,Suzuki GSX-R 750,15 000 км,Спортивный,2004,750 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 7 сентября
159,59 990₽,Yamaha YBR,36 851 км,Классика,2014,125 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 7 сентября
160,250 000₽,Honda XR 650R,37 000 км,Эндуро,2001,650 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 7 сентября
161,160 000₽,Yamaha YZF 600,147 000 км,Спорт-турист,2002,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 6 сентября
162,90 000₽,Kawasaki ZZR 400 2,42 000 км,Спорт-турист,1999,400 куб. см.,4х тактный
				
			
			
?,Исправен,Есть ПТС,Москва, 6 сентября
163,200 000₽,Honda XR 250,18 000 км,Эндуро,1995,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 6 сентября
164,90 000₽,Иж Юпитер 5,15 км,Классика,1999,350 куб. см.,2х тактный,None,Есть ПТС,Москва, 6 сентября
165,389 000₽,Kawasaki ER-6F,550 км,Спорт-турист,None,650 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 6 сентября
166,200 000₽,KTM 200 Duke,11 700 км,Классика,2017,200 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 5 сентября
167,240 000₽,Honda CRF 450X,None,Эндуро,2005,450 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 5 сентября
168,51 300₽,Avantis,5 км,Питбайк,2017,125 куб. см.,4х тактный,Исправен,Без ПТС,Москва, 5 сентября
169,510 000₽,Honda CB,12 900 км,Классика,2014,200 куб. см.,2х тактный,Неисправен,Без ПТС,Москва, 4 сентября
170,285 000₽,Kawasaki Z 750,31 000 км,Стритфайтер,2010,750 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 4 сентября
171,350 000₽,Yamaha XVS 1100,6 000 км,Чоппер,2009,1 100 куб. см.,2х тактный,Исправен,Есть ПТС,Москва, 4 сентября
172,580 000₽,Yamaha YZF R6,11 000 км,Спортивный,2013,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 4 сентября
173,240 000₽,Honda VFR 800F,64 000 км,Спорт-турист,1999,800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 4 сентября
174,175 000₽,Honda VT 1100,32 000 км,Чоппер,1993,1 100 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 4 сентября
175,515 000₽,Kawasaki Versys 650,4 000 км,Круизер,2017,650 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 3 сентября
176,380 000₽,Suzuki GSR 750,9 000 км,Стритфайтер,2014,750 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 3 сентября
177,250 000₽,Ява 634,2 753 км,Классика,1983,350 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 2 сентября
178,220 000₽,Yamaha XVS 400,25 400 км,Чоппер,2006,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 2 сентября
179,140 000₽,Ява 350-634,3 000 км,Классика,2012,350 куб. см.,2х тактный,Исправен,Есть ПТС,Москва, 1 сентября
180,140 000₽,Ява 350-360,3 000 км,Классика,2012,350 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 1 сентября
181,299 000₽,Honda Shadow 750,17 983 км,Чоппер,2009,750 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,30 августа
182,280 000₽,Yamaha FZ 6,51 500 км,Спорт-турист,2008,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 августа
183,240 000₽,Suzuki GSX-R 600,41 500 км,Спортивный,2006,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 августа
184,250 000₽,Kawasaki Ninja 300,21 500 км,Спортивный,2014,300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 августа
186,399 000₽,Yamaha XVS 1300,32 000 км,Круизер,2011,1 300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 августа
187,150 000₽,Honda Shadow 400,59 000 км,Чоппер,2001,400 куб. см.,4х тактный
				
			
			
?,Исправен,Есть ПТС,Москва,28 августа
188,22 000₽,Восход 3М,6 500 км,Классика,1992,175 куб. см.,2х тактный,Неисправен,Есть ПТС,Москва,27 августа
189,285 000₽,Yamaha FZ 6,56 000 км,Спорт-турист,2007,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,27 августа
190,175 000₽,Yamaha YZF R6,51 000 км,Спортивный,2001,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,27 августа
191,190 000₽,Honda Shadow 750,34 000 км,Чоппер,1999,750 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,27 августа
192,245 000₽,Kawasaki Ninja ZX-6R,48 285 км,Спортивный,2005,636 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,27 августа
193,235 000₽,Honda CBR 1000RR Fireblade,24 721 км,Спортивный,2005,1 000 куб. см.,4х тактный,Исправен,Без ПТС,Москва,27 августа
194,550 000₽,Harley-Davidson Electra Glide,57 600 км,Туристический,2008,1 580 куб. см.,None,Исправен,Есть ПТС,Москва,26 августа
195,42 000₽,Sym XS 125,6 000 км,Классика,2012,125 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,24 августа
196,470 000₽,Honda Hornet,12 638 км,Классика,2013,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,23 августа
197,179 000₽,Yamaha XVS 650,24 300 км,Чоппер,2006,650 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,23 августа
198,700 000₽,Kawasaki Ninja 1000,6 000 км,Спорт-турист,2016,1 043 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,23 августа
199,440 000₽,Honda CB 600F Hornet,12 638 км,Классика,2013,599 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,23 августа
200,215 000₽,Yamaha FZ 6,44 500 км,Спорт-турист,2005,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,23 августа
201,260 000₽,Honda CBR 600RR,41 000 км,Спортивный,2006,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,23 августа
202,219 000₽,Triumph Speed Triple,41 000 км,Стритфайтер,2003,955 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 августа
203,170 000₽,Honda CB 400SS,23 000 км,Классика,2002,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 августа
204,280 000₽,Yamaha XJ 600 S Diversion,35 000 км,Классика,2011,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 августа
205,110 000₽,Yamaha FZX 750,47 000 км,Классика,1986,750 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 августа
206,89 000₽,Kayo T2,1 200 км,Эндуро,2016,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 августа
207,475 000₽,BMW R 1200 GS,26 051 км,Эндуро,2006,1 200 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 августа
208,180 000₽,Honda XR 250R,16 900 км,Эндуро,1999,250 куб. см.,None,Исправен,Есть ПТС,Москва,20 августа
209,56 000₽,Ява 634,20 000 км,Классика,1975,350 куб. см.,2х тактный,Исправен,Есть ПТС,Москва,20 августа
210,300 000₽,Yamaha XJ 600 S Diversion,27 000 км,Классика,2011,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,20 августа
211,470 000₽,Suzuki Boulevard M109R,16 000 км,Чоппер,2007,1 800 куб. см.,4х тактный
				
			
			
?,Исправен,Есть ПТС,Москва,20 августа
212,250 000₽,Suzuki GSX-R 1000,37 000 км,Спортивный,2004,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 августа
213,350 000₽,Suzuki V-Strom 650,39 000 км,None,2008,650 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 августа
214,290 000₽,Suzuki Intruder,23 490 км,Классика,2013,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,18 августа
215,350 000₽,Harley-Davidson Sportster 1200 Roadster XL1200R,43 000 км,Чоппер,2004,1 200 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,17 августа
216,300 000₽,Yamaha Diversion,2 381 км,Спортивный,2012,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,16 августа
217,450 000₽,Yamaha XVS 1300,39 000 км,Круизер,2011,1 300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,16 августа
218,500 000₽,Yamaha Stratoliner,81 422 км,Круизер,2006,1 900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,16 августа
219,480 000₽,Yamaha Roadstar 1700,10 506 км,Круизер,2009,1 700 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,16 августа
220,480 000₽,Yamaha Roadstar 1900,16 067 км,Чоппер,2006,1 900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,16 августа
221,749 033₽,Harley-Davidson Screamin Eagle Deuce FXSTDSE,16 192 км,Классика,2003,1 550 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,16 августа
222,325 000₽,Honda Shadow Aero,11 630 км,Круизер,2008,750 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,16 августа
223,500 000₽,BMW F 800 GS,37 000 км,Туристический,2013,800 куб. см.,2х тактный,Исправен,Есть ПТС,Москва,16 августа
224,300 000₽,Honda CBR 650F,500 км,Спортивный,2016,648 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,15 августа
225,160 000₽,Suzuki SV 650,44 500 км,Спорт-турист,2003,650 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,14 августа
226,40 000₽,briggs and stratton,30 км,Спортивный,2015,200 куб. см.,4х тактный,Исправен,Без ПТС,Москва,14 августа
227,73 000₽,Irbis XR 250 R,1 750 км,Эндуро,2014,250 куб. см.,4х тактный
				
			
			
?,Исправен,Есть ПТС,Москва,14 августа
228,100 000₽,Johnny Pag Ventura,1 500 км,Кастом,2014,350 куб. см.,2х тактный,Исправен,Есть ПТС,Москва,14 августа
229,45 000₽,Lifan,5 650 км,Эндуро,2007,200 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,13 августа
230,300 000₽,Honda CRF 250R,70 км,Кроссовый,2013,250 куб. см.,4х тактный,Исправен,Без ПТС,Москва,13 августа
231,60 000₽,Irbis TTR 250,97 км,Эндуро,2014,250 куб. см.,4х тактный,Исправен,Без ПТС,Москва,12 августа
232,63 000₽,Yamaha YBR 125,27 000 км,Классика,2009,125 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,12 августа
233,380 000₽,Yamaha YZF R6,25 000 км,Спортивный,2009,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,12 августа
234,510 000₽,Yamaha Raider,21 000 км,Чоппер,2008,1 900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,12 августа
235,120 000₽,Honda CB 400SF,61 000 км,Классика,1997,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,11 августа
236,180 000₽,Yamaha XJR 1200,60 000 км,Классика,1998,1 200 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,11 августа
237,300 000₽,Suzuki Boulevard C90,7 000 км,Круизер,2005,1 500 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,10 августа
238,899 900₽,KTM 500 EXC-F,1 км,Эндуро,2018,500 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,10 августа
